mslno,conveyorname,productslno,partno,target
1,M/C No.01/850,1,MJS64112802,50
2,M/C No.02/660,10,MCK71480202,20
3,M/C No.03/650,103,ABN76531217LM,10
6,M/C No.06/550,108,ABN76531212,20
7,M/C No.07/450,114,ABN76531403,20
8,M/C No.08/450,118,MBL68707307,60
9,M/C No.09/450,120,MBL68707606,2
10,M/C No.10/450,126,ABN76536108,10
11,M/C No.11/450,115,MBL68687911,10
12,M/C No.12/550,132,ABN76536114,10
21,M/C No.21/910,12,MAM62824710,30
23,M/C No.23/350,121,ABN76536102,10
25,M/C No.25/350,125,MBL68707603,10
26,M/C No.26/350,127,ABN76536116,10
28,M/C No.28/250,128,MBL68707310,10
29,M/C No.29/250,13,MCK71480203,10
30,M/C No.30/250,133,MBL68707308,10
